"id","name","link","address","rating","reviews","price_min","price_max"
1,"Rabat Marriott Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d23891194-Reviews-Rabat_Marriott_Hotel-Rabat_Rabat_Sale_Kenitra.html","Avenue Inaouin, Arribat Center Agdal Arribat Center Agdal, Rabat 10000 Morocco","5",412,"245","285"
2,"Hotel Sofitel Rabat Jardin des Roses","https://www.tripadvisor.com/Hotel_Review-g293736-d300677-Reviews-Hotel_Sofitel_Rabat_Jardin_des_Roses-Rabat_Rabat_Sale_Kenitra.html","Avenue Imam Malek Impasse Souissi, Rabat 10000 Morocco","4.5",3141,"240","295"
3,"Conrad Rabat Arzana","https://www.tripadvisor.com/Hotel_Review-g293736-d25054745-Reviews-Conrad_Rabat_Arzana-Rabat_Rabat_Sale_Kenitra.html","Plage Val d’Or, Harhoura, Rabat 12040 Morocco","4.5",138,"241","258"
4,"La Tour Hassan Palace","https://www.tripadvisor.com/Hotel_Review-g293736-d456085-Reviews-La_Tour_Hassan_Palace-Rabat_Rabat_Sale_Kenitra.html","26, Avenue Chellah BP 14, Rabat 10000 Morocco","4",747,"196","293"
5,"Riad Meftaha","https://www.tripadvisor.com/Hotel_Review-g293736-d8474459-Reviews-Riad_Meftaha-Rabat_Rabat_Sale_Kenitra.html","15 Rue Iran Quartier Marassa Ocean, Rabat 10000 Morocco","5",321,"64","86"
6,"Dar El Kebira","https://www.tripadvisor.com/Hotel_Review-g293736-d1020735-Reviews-Dar_El_Kebira-Rabat_Rabat_Sale_Kenitra.html","Rue des Consuls, 1 Impasse Belghazi Ferran Znaki, Rabat 10010 Morocco","4.5",751,"117","145"
7,"Riad Zyo","https://www.tripadvisor.com/Hotel_Review-g293736-d3724817-Reviews-Riad_Zyo-Rabat_Rabat_Sale_Kenitra.html","5 Rue Moreno Legza, Rabat 10000 Morocco","5",522,"137","141"
8,"The Ritz Carlton Rabat Dar Es Salam","https://www.tripadvisor.com/Hotel_Review-g293736-d20377552-Reviews-The_Ritz_Carlton_Rabat_Dar_Es_Salam-Rabat_Rabat_Sale_Kenitra.html","Km 9 Avenue Mohammed VI, Rabat 00000 Morocco","5",38,"436","611"
9,"Villa des Ambassadors","https://www.tripadvisor.com/Hotel_Review-g293736-d3874771-Reviews-Villa_des_Ambassadors-Rabat_Rabat_Sale_Kenitra.html","322, Avenue Mohamed VI 322,, Rabat 10030 Morocco","4.5",81,"137","160"
10,"Villa Mandarine","https://www.tripadvisor.com/Hotel_Review-g293736-d531012-Reviews-Villa_Mandarine-Rabat_Rabat_Sale_Kenitra.html","19 Rue Ouled Bousbaa Souissi, Rabat 10030 Morocco","4.5",542,"201","253"
11,"STORY Rabat","https://www.tripadvisor.com/Hotel_Review-g293736-d7272183-Reviews-STORY_Rabat-Rabat_Rabat_Sale_Kenitra.html","Rue Bani Yadder Quartier des Ambassadeurs, Rabat 10220 Morocco","5",206,"240","319"
12,"Hotel Rabat A Member Of Barceló Hotel Group","https://www.tripadvisor.com/Hotel_Review-g293736-d667185-Reviews-Hotel_Rabat_A_Member_Of_Barcelo_Hotel_Group-Rabat_Rabat_Sale_Kenitra.html","Place 16 Novembre Bd Mohamed Lyazidi, Rabat 10000 Morocco","3",810,"106","139"
13,"Hotel Le Diwan Rabat - MGallery","https://www.tripadvisor.com/Hotel_Review-g293736-d299657-Reviews-Hotel_Le_Diwan_Rabat_MGallery-Rabat_Rabat_Sale_Kenitra.html","Place de l'Unite Africaine, Rabat 10005 Morocco","4.5",1358,"120","140"
14,"Riad Kalaa","https://www.tripadvisor.com/Hotel_Review-g293736-d1225180-Reviews-Riad_Kalaa-Rabat_Rabat_Sale_Kenitra.html","3-5 Rue Zebdi, Rabat 10000 Morocco","4.5",769,"112","157"
15,"Riad Almazhar","https://www.tripadvisor.com/Hotel_Review-g293736-d22944749-Reviews-Riad_Almazhar-Rabat_Rabat_Sale_Kenitra.html","46 Rue Sidi Fatah Impasse Sandal, Rabat 10000 Morocco","5",20,"142","163"
16,"Hôtel Mercure Rabat Sheherazade","https://www.tripadvisor.com/Hotel_Review-g293736-d299666-Reviews-Hotel_Mercure_Rabat_Sheherazade-Rabat_Rabat_Sale_Kenitra.html","21 Rue de Tunis Quartier Hassan, Rabat 10000 Morocco","3.5",587,"92","102"
17,"Dar Kika Salam By DKS","https://www.tripadvisor.com/Hotel_Review-g293736-d12427786-Reviews-Dar_Kika_Salam_By_DKS-Rabat_Rabat_Sale_Kenitra.html","7 Rue Sidi Mohammed Daoui Medina en face de la Kasbah des Oudayas, Rabat 10005 Morocco","4.5",73,"99","152"
18,"Dar Zouhour","https://www.tripadvisor.com/Hotel_Review-g293736-d1596688-Reviews-Dar_Zouhour-Rabat_Rabat_Sale_Kenitra.html","4 Impasse Kaid Bargach 4 Impasse Kaid Bargach Medina, Rabat 10030 Morocco","4.5",299,"96","107"
19,"Hotel des Oudaias","https://www.tripadvisor.com/Hotel_Review-g293736-d10070214-Reviews-Hotel_des_Oudaias-Rabat_Rabat_Sale_Kenitra.html","132 Boulevard Mohamed V, Rabat 10000 Morocco","4.5",125,"76","86"
20,"Soundouss Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d303081-Reviews-Soundouss_Hotel-Rabat_Rabat_Sale_Kenitra.html","10, Place Talha, Rabat 10080 Morocco","4",187,"110","141"
21,"Riad El Maati","https://www.tripadvisor.com/Hotel_Review-g293736-d1992165-Reviews-Riad_El_Maati-Rabat_Rabat_Sale_Kenitra.html","15 Sidi El Maati, Rabat 10000 Morocco","4.5",365,"97","114"
22,"Rive Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d2270692-Reviews-Rive_Hotel-Rabat_Rabat_Sale_Kenitra.html","1 Rue Tindouf, Rabat 10030 Morocco","3",170,"92","110"
23,"ONOMO Hotel Rabat Terminus","https://www.tripadvisor.com/Hotel_Review-g293736-d303079-Reviews-ONOMO_Hotel_Rabat_Terminus-Rabat_Rabat_Sale_Kenitra.html","286 Boulevard Mohamed V, Rabat 10000 Morocco","4",218,"87","122"
24,"First Suites Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d23338842-Reviews-First_Suites_Hotel-Rabat_Rabat_Sale_Kenitra.html","4, Avenue de France and Oued Ziz Street, Rabat 10080 Morocco","3.5",4,"134","160"
25,"Dar Rehab","https://www.tripadvisor.com/Hotel_Review-g293736-d14789370-Reviews-Dar_Rehab-Rabat_Rabat_Sale_Kenitra.html","14 Rue Sidi Mohamed El Ghazi, Rabat 10030 Morocco","3.5",44,"37","44"
27,"Belere Hotel Rabat","https://www.tripadvisor.com/Hotel_Review-g293736-d480296-Reviews-Belere_Hotel_Rabat-Rabat_Rabat_Sale_Kenitra.html","33 Avenue Moulay Youssef, Rabat 10000 Morocco","3.5",370,"62","84"
28,"Dar El Idrissi","https://www.tripadvisor.com/Hotel_Review-g293736-d17551073-Reviews-Dar_El_Idrissi-Rabat_Rabat_Sale_Kenitra.html","133 Rue Souika Ancienne Medina, Rabat 10030 Morocco","3",4,"25","26"
