"id","name","link","menu_link","rating","reviews","price"
1,"Le Grill Robuchon","https://www.tripadvisor.com/Restaurant_Review-g293736-d24137398-Reviews-Le_Grill_Robuchon-Rabat_Rabat_Sale_Kenitra.html","https://www.morecravings.com/fr/menus/2581","5",105,"$$$$"
2,"Dar Zaki","https://www.tripadvisor.com/Restaurant_Review-g293736-d7312105-Reviews-Dar_Zaki-Rabat_Rabat_Sale_Kenitra.html","http://darzaki.com/menu/","4.5",497,"$$ - $$$"
3,"Resturant Sufra","https://www.tripadvisor.com/Restaurant_Review-g293736-d17822142-Reviews-Resturant_Sufra-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",224,"$"
4,"Tangerino","https://www.tripadvisor.com/Restaurant_Review-g293736-d27743923-Reviews-Tangerino-Rabat_Rabat_Sale_Kenitra.html","https://tangerino-rabat.com/","5",105,NULL
5,"Golden Fish","https://www.tripadvisor.com/Restaurant_Review-g293736-d3750728-Reviews-Golden_Fish-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",448,"$$$$"
6,"Marea","https://www.tripadvisor.com/Restaurant_Review-g293736-d24085497-Reviews-Marea-Rabat_Rabat_Sale_Kenitra.html","https://drive.google.com/open?id=17fcepjg1B7OLGaBANLz_x_gd1QowAzrZ&usp=drive_copy","4.5",114,"$$ - $$$"
7,"L' Épicurien","https://www.tripadvisor.com/Restaurant_Review-g293736-d17629730-Reviews-L_Epicurien-Rabat_Rabat_Sale_Kenitra.html","https://www.facebook.com/theepicurien","5",80,"$$$$"
8,"L’Impérial","https://www.tripadvisor.com/Restaurant_Review-g293736-d25572944-Reviews-L_Imperial-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",37,"$$$$"
9,"Restaurant Dar Naji","https://www.tripadvisor.com/Restaurant_Review-g293736-d14977137-Reviews-Restaurant_Dar_Naji-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",1617,"$$ - $$$"
10,"Dar El Medina","https://www.tripadvisor.com/Restaurant_Review-g293736-d9681712-Reviews-Dar_El_Medina-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",426,"$"
11,"Villa Mandarine","https://www.tripadvisor.com/Restaurant_Review-g293736-d3648229-Reviews-Villa_Mandarine-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",198,"$$$$"
12,"Al Warda","https://www.tripadvisor.com/Restaurant_Review-g293736-d3750724-Reviews-Al_Warda-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",198,"$$$$"
13,"Restaurant Dar Al Achab","https://www.tripadvisor.com/Restaurant_Review-g293736-d25076948-Reviews-Restaurant_Dar_Al_Achab-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",29,"$$ - $$$"
14,"Le Petit Beur","https://www.tripadvisor.com/Restaurant_Review-g293736-d779960-Reviews-Le_Petit_Beur-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",476,"$$ - $$$"
15,"Cafe La Galerie","https://www.tripadvisor.com/Restaurant_Review-g293736-d3750713-Reviews-Cafe_La_Galerie-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",45,"$$ - $$$"
16,"Le Dhow","https://www.tripadvisor.com/Restaurant_Review-g293736-d3607848-Reviews-Le_Dhow-Rabat_Rabat_Sale_Kenitra.html","https://www.facebook.com/LeDhowRabat/menu/","3.5",984,"$$ - $$$"
17,"Al Marsa","https://www.tripadvisor.com/Restaurant_Review-g293736-d2313294-Reviews-Al_Marsa-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",277,"$$$$"
18,"Dinarjat","https://www.tripadvisor.com/Restaurant_Review-g293736-d779615-Reviews-Dinarjat-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",671,"$$$$"
19,"Il Giardino","https://www.tripadvisor.com/Restaurant_Review-g293736-d4334018-Reviews-Il_Giardino-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",349,"$$ - $$$"
20,"Sa Caleta","https://www.tripadvisor.com/Restaurant_Review-g293736-d5562615-Reviews-Sa_Caleta-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",189,"$$ - $$$"
21,"Croon Lounge Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d24132850-Reviews-Croon_Lounge_Rabat-Rabat_Rabat_Sale_Kenitra.html","https://www.morecravings.com/en/venues/champions","5",71,"$$ - $$$"
