id,name,type,address,location,phone,email,price_per_person
1,Booker-Stewart,Cultural Experience,572 Laura Shore,"Marrakech, Morocco",589.297.6547x0909,patrickyvonne@example.net,87.45
2,"Young, Johnson and Martinez",Workshop,42648 Samantha Valley Apt. 554,"Oujda, Morocco",9675614876,jenniferrivera@example.org,153.8
3,Obrien-Brown,Event,1952 Michael Drive,"Marrakech, Morocco",525-217-4596,eallen@example.org,61.05
4,George LLC,Cultural Experience,35930 Brewer Pines,"Tangier, Morocco",+1-392-961-5174x430,xgonzalez@example.org,40.35
5,"Freeman, Anderson and Benson",Outdoor Adventure,3004 Justin Isle Apt. 102,"Rabat, Morocco",(313)692-0941x687,mmurphy@example.net,88.18
6,"Barker, Miller and Petty",Workshop,5410 Timothy Station Suite 434,"Marrakech, Morocco",(391)715-4283x572,ochaney@example.com,47.37
7,Palmer Ltd,Cultural Experience,64226 Collins Ridge Suite 466,"Rabat, Morocco",272.256.4098x0964,aavila@example.net,89.6
8,Gilbert Ltd,Workshop,8247 Davis Village Suite 110,"Casablanca, Morocco",+1-239-424-0449x339,nelsoncatherine@example.net,10.98
9,"Wood, Jackson and Church",Outdoor Adventure,3595 Warren Spring,"Oujda, Morocco",(242)449-3755x625,janetcarroll@example.com,20.01
10,"Peterson, Sanchez and Morton",Outdoor Adventure,014 Audrey Vista Suite 908,"Oujda, Morocco",517.939.6402x7649,ramirezallison@example.net,0.46
11,Torres PLC,Event,499 Brown Passage Apt. 682,"Tangier, Morocco",001-221-353-1196x9758,rodgersalan@example.com,87.08
12,Tate Ltd,Tour,4683 Gregory Islands Suite 822,"Agadir, Morocco",(852)968-1992x2078,amanda69@example.org,199.29
13,"Sweeney, King and Simmons",Event,28781 Jennifer Parkways,"Agadir, Morocco",(254)530-6429x343,amanda68@example.org,143.3
14,"Lewis, Patton and Higgins",Event,98028 Matthew Gateway,"Tangier, Morocco",653-842-0276x04556,bakereric@example.org,138.67
15,Lee-Marquez,Workshop,73827 Robert Hills,"Casablanca, Morocco",9335136618,dennis44@example.org,156.25
16,Holmes and Sons,Tour,7304 Anthony Lakes Suite 598,"Fes, Morocco",2137281274,edward33@example.net,134.93
17,Banks Ltd,Event,5308 Carlson Station,"Marrakech, Morocco",7335228577,davidsonmary@example.org,150.69
18,Hernandez Inc,Event,9492 Sanchez Square Apt. 829,"Rabat, Morocco",001-681-417-2431x5042,robert90@example.com,135.8
19,"Guerrero, Harris and Lee",Cultural Experience,3081 Charles Square,"Marrakech, Morocco",576.490.4356x23666,robertward@example.org,108.03
20,Nelson PLC,Cultural Experience,174 Nicholas Islands Suite 387,"Marrakech, Morocco",282.300.8879x4002,melindablack@example.com,61.86
21,Williams Ltd,Tour,66707 Joseph Walks Suite 389,"Marrakech, Morocco",001-824-573-8695x683,peggynewman@example.net,176.21
22,Ware-Bonilla,Outdoor Adventure,33920 Smith Dam Suite 716,"Marrakech, Morocco",(511)874-7883x9677,mgreene@example.com,163.92
23,"Davis, Malone and Logan",Event,6944 Andrew Squares Apt. 761,"Oujda, Morocco",(936)617-5613x380,amygonzalez@example.org,170.46
24,"Rhodes, Oneal and Williams",Outdoor Adventure,687 Roy Brook,"Marrakech, Morocco",(698)584-7384,respinoza@example.com,157.93
25,Barker PLC,Outdoor Adventure,989 Mary Drive,"Oujda, Morocco",001-827-951-8669,christopher88@example.net,31.49
26,Bailey LLC,Event,3986 Nathan Forest Apt. 208,"Agadir, Morocco",(506)286-2320x482,brian14@example.net,55.13
27,Mcbride-Mason,Tour,1501 Padilla Island,"Tangier, Morocco",001-435-921-7273x71735,steven14@example.org,102.68
28,"Romero, Daniel and Rodriguez",Cultural Experience,0415 Elliott Parks Apt. 354,"Casablanca, Morocco",202.216.7981,ulee@example.net,148.85
29,Williams-Ritter,Tour,167 Evans Garden Suite 017,"Casablanca, Morocco",(705)712-1879x714,stewartjoel@example.com,133.72
