id,name,type,address,location,phone,email,price_per_night
1,Marks LLC,Hotel,7929 Wright Cape,"Casablanca, Morocco",(326)349-1719x61276,kyle51@example.net,325.32
2,Morris LLC,Riyad,91884 Ernest Grove,"Casablanca, Morocco",001-237-225-1532,htorres@example.org,188.01
3,Roberts Inc,Guesthouse,500 Waller Wall,"Casablanca, Morocco",001-423-541-1320,jeffrey02@example.org,153.78
4,Thomas-Mccarthy,Hotel,8182 Vanessa Mountains,"Tangier, Morocco",001-313-731-7055,anthonyhobbs@example.net,419.69
5,Summers-Bush,Riyad,037 Smith Streets Apt. 678,"Fes, Morocco",990.607.4601x442,timothy13@example.net,98.94
6,Carpenter Inc,Hostel,2151 Charlotte Meadows Apt. 935,"Fes, Morocco",(566)848-2897,jflores@example.org,210.89
7,Garcia-Robinson,Riyad,3224 Christopher Flats,"Fes, Morocco",+1-407-911-8108x629,olee@example.net,398.79
8,Roberts Group,Guesthouse,2991 Rodriguez Street Apt. 615,"Agadir, Morocco",001-500-255-0391x595,vanessa35@example.org,93.59
9,Smith-Smith,Hotel,30890 Jordan Dale Suite 351,"Agadir, Morocco",751.896.4979x5122,haynesjoshua@example.com,228.04
10,Figueroa LLC,Hotel,364 Simpson Cape,"Marrakech, Morocco",828.333.5297,ystone@example.net,374.87
11,"Weaver, Rodriguez and Harrison",Motel,7369 Stewart Haven,"Agadir, Morocco",(963)338-1676x50348,ellisalexander@example.com,380.66
12,Potts Inc,Guesthouse,3033 Leslie Gardens Apt. 743,"Oujda, Morocco",(879)745-2350x225,seancastaneda@example.net,229.71
13,Hansen-Christian,Hostel,89635 David Cape Apt. 134,"Tangier, Morocco",+1-353-811-2484x46230,normaneric@example.net,222.82
14,Mckay PLC,Hotel,1950 Robinson Crossroad,"Tangier, Morocco",745-570-3267x7171,ascott@example.org,395.83
15,Fields Ltd,Hotel,40433 Martinez Extension Suite 565,"Tangier, Morocco",+1-889-347-6690,williambarker@example.org,89.85
16,Ramirez Inc,Motel,16775 Ross Mountain Apt. 801,"Fes, Morocco",001-288-245-4454,hernandezelizabeth@example.org,286.75
17,Hahn LLC,Hotel,49637 Amber Estates Apt. 325,"Rabat, Morocco",263.256.1164x751,brentsnyder@example.org,243.16
18,Miller Inc,Guesthouse,549 Pearson Lodge Suite 684,"Tangier, Morocco",781.497.1952x3556,bcochran@example.net,81.86
19,Robertson-Johns,Riyad,881 Cook Mall,"Rabat, Morocco",771.584.7079x543,elizabethlopez@example.net,191.79
20,Martin-Duke,Hotel,9088 Fisher Parks Suite 864,"Agadir, Morocco",710.374.7743,ianderson@example.org,209.81
21,Robertson LLC,Hotel,1366 Holloway Corners,"Fes, Morocco",001-578-290-9858x963,alexanderjeffrey@example.com,173.22
22,Rodriguez-Cross,Guesthouse,8690 Abbott Squares,"Tangier, Morocco",(795)293-2293x9685,robinsonjames@example.org,171.9
23,"Baird, Jackson and James",Guesthouse,591 Angela Club Apt. 349,"Agadir, Morocco",524.591.3812x5722,nicholas23@example.com,388.39
24,Martin-Chavez,Motel,764 Harris Valley Apt. 982,"Fes, Morocco",379.735.5353x9028,james85@example.com,295.65
25,"Bennett, Beasley and Campbell",Hotel,6749 Frank Groves,"Fes, Morocco",9504736592,travisthornton@example.org,68.19
26,"Jimenez, Hartman and Lee",Hostel,0113 Olson Ports Apt. 869,"Agadir, Morocco",4578191565,stephanie35@example.com,460.05
27,Howard-Ramsey,Hostel,43261 Bailey Ramp Apt. 276,"Marrakech, Morocco",+1-209-390-5261x4704,tonya32@example.net,162.88
28,Freeman PLC,Hostel,714 Orr Courts Suite 004,"Fes, Morocco",+1-420-965-6565x265,amandaclark@example.com,335.31
29,Moore Group,Hotel,44576 Robinson Manor,"Rabat, Morocco",001-967-790-5651x55485,garynicholson@example.org,208.83
30,"Hunt, Lee and Potter",Motel,0629 Schmidt Loop,"Agadir, Morocco",+1-390-485-0575,francis50@example.org,49.43
31,"Miller, Schaefer and Sullivan",Motel,13294 Perry Run,"Fes, Morocco",001-825-851-3407x329,ssmith@example.net,124.43
32,King Inc,Riyad,988 Giles Parkway,"Oujda, Morocco",239-667-4537,nmorrow@example.org,463.16
33,"Miller, Bell and Rivera",Hotel,6975 Miller Fords Apt. 150,"Marrakech, Morocco",(835)594-2129x8181,tamara41@example.org,265.52
34,Barry-Smith,Guesthouse,91394 Walsh Views Apt. 063,"Oujda, Morocco",+1-471-522-8521x5434,lhopkins@example.net,484.33
35,Wood PLC,Guesthouse,61258 Dillon Inlet Apt. 567,"Marrakech, Morocco",5124890926,jessica73@example.com,183.99
36,Thomas Inc,Hostel,891 Oliver Via Apt. 793,"Tangier, Morocco",5447413189,jonesrobert@example.com,385.41
37,Berg-Martin,Motel,62688 Parsons Court,"Agadir, Morocco",+1-768-809-9973x04421,nperez@example.org,220.8
38,"Dennis, Friedman and Martinez",Guesthouse,1262 Montoya Hollow,"Tangier, Morocco",+1-883-583-4061x4759,brentclark@example.net,412.37
39,"Acosta, Hansen and Johnston",Hostel,75460 Lane Ridges Apt. 840,"Casablanca, Morocco",(568)459-1811x1913,williamssteven@example.com,473.73
40,Foster-Robinson,Riyad,106 Donald Dale Apt. 174,"Tangier, Morocco",5797421252,smarquez@example.net,144.28
41,"Fisher, Schwartz and Aguilar",Hotel,47279 Erin Forges,"Agadir, Morocco",893.353.9510x2507,oshort@example.org,142.57
42,Pitts Ltd,Riyad,28313 Beck Passage,"Rabat, Morocco",574.264.9270x211,kimberly87@example.org,341.49
43,Henderson PLC,Motel,4085 Zimmerman Forge Suite 547,"Marrakech, Morocco",8164262068,vbrown@example.org,442.79
44,Rodgers Inc,Hotel,16801 Samuel Unions Suite 707,"Casablanca, Morocco",578-951-1154x70073,brookecastillo@example.org,44.89
45,Sandoval-Robinson,Riyad,641 Stevens Ridge,"Rabat, Morocco",7105338825,robertray@example.net,180.25
46,Anderson-Jones,Guesthouse,3343 Eric Knolls Apt. 183,"Marrakech, Morocco",539.387.0232,cheryl58@example.org,444.62
47,Malone-Holland,Riyad,74967 James Spurs Apt. 027,"Agadir, Morocco",+1-286-400-4868x300,ylopez@example.com,371.08
48,"Torres, Smith and Griffin",Hostel,60132 Amanda Viaduct,"Fes, Morocco",001-911-976-5605x2813,francisrichard@example.org,374.98
49,Roberson Inc,Guesthouse,4193 Peters Stream Suite 348,"Fes, Morocco",(215)609-1597x377,steven40@example.net,117.71
50,Martinez-Reyes,Motel,4049 Larry Mission Apt. 518,"Rabat, Morocco",949-526-6197,grahammaria@example.net,455.9
51,"Jones, Ellis and Henderson",Motel,91512 John Shores,"Casablanca, Morocco",427.263.8361x198,hughesscott@example.net,242.19
52,Harris-Dalton,Riyad,51769 Paul Lodge Apt. 353,"Tangier, Morocco",+1-973-413-6726,isanchez@example.org,282.37
53,"Cruz, Vazquez and Robinson",Guesthouse,649 Price Glen,"Agadir, Morocco",(329)506-4775x299,bartonnicole@example.org,187.65
54,Mcknight-Hodges,Hotel,1365 Wade Islands,"Fes, Morocco",(980)346-2988,vwatkins@example.net,314.65
55,Morgan PLC,Motel,51201 Nicole Curve Suite 505,"Agadir, Morocco",705.627.2038x8950,martinezmatthew@example.org,458.85
56,Hobbs Inc,Guesthouse,7706 Raymond Avenue,"Oujda, Morocco",001-731-801-2138,martinmichael@example.org,457.18
57,"Yoder, Wolf and Jacobson",Guesthouse,9750 Jason Hollow Apt. 913,"Marrakech, Morocco",779.953.5403x9042,molinaanna@example.net,227.73
58,Neal-Grant,Motel,52015 Michael Center,"Agadir, Morocco",+1-356-217-6748x421,bgarcia@example.org,283.14
59,"Davidson, Lyons and Strickland",Guesthouse,7737 Coleman Station,"Rabat, Morocco",448.795.8243,lgreen@example.net,346.11
60,Macdonald-Foley,Hostel,816 Bryant Mission Apt. 918,"Casablanca, Morocco",898-871-4662,krista52@example.org,40.18
61,Murphy-Moore,Guesthouse,708 Jennifer Neck,"Oujda, Morocco",516-405-1331x1702,mike27@example.com,397.23
62,Anderson-King,Hostel,1033 Lowery Brook,"Rabat, Morocco",+1-581-700-3729x1893,robert43@example.net,429.63
63,Williams Group,Guesthouse,7942 Denise Harbors,"Agadir, Morocco",4525453655,iwalker@example.net,482.04
64,Sullivan LLC,Guesthouse,9768 Serrano Divide Apt. 512,"Rabat, Morocco",001-451-330-3536x7537,williamsjoshua@example.com,465.14
65,Craig-Turner,Hostel,291 Kendra View Suite 467,"Fes, Morocco",617-413-3391,hughesjoseph@example.com,438.93
66,"Dixon, Brooks and Jones",Hostel,202 Williams Lakes Suite 643,"Oujda, Morocco",457.699.9484x6040,nicholasgross@example.com,229.62
67,Brown-Perez,Riyad,141 Gallegos Fort Apt. 319,"Fes, Morocco",+1-835-408-5793x5984,gregoryparker@example.com,313.83
68,Nielsen-Mooney,Guesthouse,02027 Miller Turnpike Suite 029,"Tangier, Morocco",420.284.0058,zhiggins@example.org,201.73
69,Hill LLC,Riyad,1154 Robbins Trail Apt. 412,"Rabat, Morocco",(823)279-7327x13002,danielgibson@example.com,487.4
70,Payne Inc,Guesthouse,09624 Kane Drive Apt. 922,"Agadir, Morocco",001-219-453-8358x481,jeffrey98@example.org,467.15
71,"Thompson, Wilkinson and Parker",Hostel,53439 Austin Tunnel Suite 185,"Casablanca, Morocco",929.808.9315x616,madeline77@example.org,203.41
72,Horne-Rhodes,Hostel,1300 Gregory Ports,"Fes, Morocco",001-618-859-4703,lowerymonica@example.net,240.25
73,"Wright, Banks and Rhodes",Hotel,405 Kline Walk,"Agadir, Morocco",417.242.7905x600,ramosdavid@example.com,141.39
74,Tate-Sanders,Hotel,41378 Christina Inlet,"Fes, Morocco",(609)777-5352,thomas44@example.net,361.83
75,"Elliott, Blackwell and Brown",Motel,86316 Torres Branch,"Marrakech, Morocco",382.704.7601x89731,andrew10@example.net,407.1
