id,name,type,address,location,phone,email,average_price_per_person
1,"Lucas, Campbell and Hurst",Restaurant,60199 Ashley Forges Apt. 902,"Marrakech, Morocco",(817)970-3781x61710,courtney02@example.com,71.18
2,Daniels Inc,Restaurant,13122 Rogers Forest Apt. 827,"Fes, Morocco",648-378-1598,christinehart@example.net,46.64
3,"Evans, Ward and Bender",Bakery,06804 Cox Lodge Suite 810,"Oujda, Morocco",001-853-678-3179,hannah40@example.org,55.59
4,Miller-Smith,Restaurant,690 Anderson Pine Apt. 423,"Fes, Morocco",001-891-290-1761x390,stanleyedwards@example.org,97.68
5,Hines LLC,Café,976 Rachel Point,"Agadir, Morocco",695-560-5363,jaimemoore@example.org,10.85
6,"Harrington, Garrison and Douglas",Bakery,5121 Amanda View Suite 428,"Oujda, Morocco",633.747.6705,harrisvictoria@example.com,89.88
7,"Obrien, Pineda and Gill",Restaurant,966 Jordan Village Suite 062,"Fes, Morocco",972.371.9331x3817,joseph27@example.net,68.74
8,Price-Ramos,Restaurant,3557 Makayla Brook,"Rabat, Morocco",001-620-211-7776,kaylamendez@example.org,31.2
9,Harris-Dean,Bakery,9224 Stanley Fords Apt. 912,"Fes, Morocco",+1-549-371-2068x2850,robinsonpaul@example.com,93.52
10,"Smith, Nichols and Nixon",Bistro,11270 Lucas Run,"Rabat, Morocco",(857)667-0541,richardwilliams@example.com,61.78
11,"Taylor, Daniel and Gill",Café,0636 Taylor Lane,"Oujda, Morocco",+1-417-740-3914x72791,smithamber@example.com,75.17
12,"Gibson, Jones and Henry",Street Food,778 Hill Glen Suite 485,"Fes, Morocco",+1-503-675-4774x414,flawson@example.com,59.2
13,Gordon-Reed,Street Food,68113 Rice Land,"Agadir, Morocco",001-730-268-5894x4155,matthewross@example.net,6.73
14,Mitchell-Hernandez,Street Food,4095 Rachel Mount,"Marrakech, Morocco",531-325-3757,gregoryjones@example.com,31.97
15,Jimenez PLC,Café,97514 John Lodge Apt. 730,"Oujda, Morocco",(450)706-3104,ewood@example.org,81.38
16,"Willis, Adams and Solomon",Café,76816 Colon Estates Suite 644,"Rabat, Morocco",7942177718,nherring@example.net,51.79
17,Jackson-Hill,Café,959 Spencer Camp,"Fes, Morocco",+1-775-704-2810x7948,nguyenedwin@example.net,17.55
18,Hamilton-Dixon,Bistro,4887 Osborne Course,"Rabat, Morocco",7595941163,melissa68@example.com,12.25
19,Robinson-Hudson,Restaurant,008 Linda Camp Suite 199,"Oujda, Morocco",7576698643,eoliver@example.com,98.27
20,Jackson-Wright,Café,34246 Ramos Freeway,"Oujda, Morocco",580.337.9287,peterclark@example.com,93.38
21,Lopez PLC,Bistro,385 Allison Orchard,"Agadir, Morocco",001-507-623-2337x79520,dustin43@example.com,40.29
22,Bass PLC,Bakery,357 Butler Turnpike Suite 554,"Fes, Morocco",861.249.0068x81946,veronica79@example.com,42.68
23,Clements-Ramirez,Street Food,738 Torres Crest Apt. 219,"Fes, Morocco",770-975-3208x8049,gabriel00@example.com,27.12
24,"Fletcher, Mcdaniel and Stewart",Café,14418 Lopez Estate Suite 707,"Casablanca, Morocco",+1-662-436-8137x6640,marshsean@example.org,50.92
25,Moore-Zimmerman,Street Food,45198 Carl Shoal,"Oujda, Morocco",001-372-375-3323x524,troberts@example.com,79.73
26,Adams-Hancock,Bistro,676 Patrick Lock,"Tangier, Morocco",(700)650-1449,mperkins@example.com,62.66
27,"Cook, Espinoza and Gonzales",Street Food,875 Michael Plaza,"Oujda, Morocco",631.207.9336x767,gibsonjames@example.net,46.96
28,"Meyer, Ramirez and Simon",Bakery,690 Fleming Garden,"Rabat, Morocco",357.721.0108x8942,avalenzuela@example.org,65.12
29,Aguilar-Johnson,Street Food,2082 April Fork Suite 233,"Tangier, Morocco",+1-651-316-7081,zdunn@example.net,86.6
30,Armstrong-Herrera,Café,3226 Brian Field,"Rabat, Morocco",776-937-0576,hgutierrez@example.org,46.12
31,Dougherty Group,Bistro,083 Maxwell Lake Apt. 957,"Marrakech, Morocco",+1-992-228-4685x445,fdavis@example.org,49.52
32,Jackson Ltd,Street Food,24556 Morgan Circles,"Marrakech, Morocco",953-827-8228x059,coopercurtis@example.com,61.23
33,"Powell, Chambers and Sanchez",Bistro,231 Powell Lodge,"Casablanca, Morocco",(729)955-9806,williammcdonald@example.com,62.71
34,"Key, Romero and Trujillo",Café,463 Tony Drive,"Tangier, Morocco",760-795-8516,lauren63@example.net,20.85
35,Garcia-Hernandez,Restaurant,36273 Hernandez Rapids Suite 267,"Agadir, Morocco",(899)464-6831x70153,melissakelley@example.com,97.6
36,Thompson-Morris,Bistro,346 Smith Harbors Suite 898,"Fes, Morocco",(631)543-5126x777,riverafernando@example.org,34.25
37,"Valentine, Henderson and Potter",Bakery,464 Michael Avenue Apt. 611,"Agadir, Morocco",+1-905-977-5453x669,vaughnrobert@example.org,54.67
38,Mayo and Sons,Bakery,2008 Monroe Points Suite 047,"Fes, Morocco",7697858802,sandraarellano@example.org,59.0
39,"Andrews, Garcia and Williams",Restaurant,973 Emily Coves,"Tangier, Morocco",+1-369-645-8188x0117,krystal13@example.net,67.97
40,"Martin, Avila and Howard",Restaurant,2694 Pace Burg Apt. 891,"Agadir, Morocco",001-623-428-9591x2745,frederickkidd@example.net,30.86
41,Yates-Holden,Restaurant,3160 Hood Path Suite 517,"Casablanca, Morocco",(938)427-7677x9998,pharris@example.net,92.82
42,Perez PLC,Street Food,24951 Sullivan Hills,"Tangier, Morocco",572.921.3908x294,cgrimes@example.net,20.62
43,Johnson LLC,Bistro,560 Turner Prairie,"Marrakech, Morocco",+1-548-820-3680x5619,horntheresa@example.org,51.22
44,Williams-Herrera,Café,2792 Hoover Knolls,"Fes, Morocco",4915685027,scottkimberly@example.org,96.14
45,Perez-Blanchard,Restaurant,6099 Smith Mount Apt. 649,"Fes, Morocco",001-426-616-4688x6876,utorres@example.net,64.76
46,"Spence, Fox and Mora",Café,71087 Rachel Overpass,"Oujda, Morocco",531-608-1530x817,romerothomas@example.net,58.56
47,"Oconnor, Farley and Ford",Bistro,40834 Taylor Locks Apt. 619,"Rabat, Morocco",+1-787-309-1829x35025,mooreryan@example.net,52.78
48,"Thompson, Le and Moore",Bakery,841 Mcbride Stravenue,"Agadir, Morocco",+1-510-939-2846,ybrown@example.org,25.43
49,"Gregory, Grant and Berry",Café,9052 Williams Fields Apt. 584,"Rabat, Morocco",531.821.9616,melissawells@example.org,67.07
50,Cantrell-Jones,Street Food,99472 Adkins Trafficway Apt. 091,"Rabat, Morocco",495-231-5301,newmanbrenda@example.com,85.59
51,"Torres, Harrell and Rodriguez",Café,378 Holly Pine,"Casablanca, Morocco",(909)336-9648x1127,andrewkramer@example.net,36.06
52,Mann-Gentry,Restaurant,6140 Turner Expressway,"Marrakech, Morocco",(256)207-8098x36423,acostasteven@example.com,94.55
53,"Robinson, Potts and Garcia",Street Food,24168 Wilson Forest Apt. 931,"Casablanca, Morocco",(577)717-4995x518,lisarivas@example.com,34.24
54,"Coleman, Wilson and Lopez",Street Food,971 Johnson Land Apt. 802,"Oujda, Morocco",(428)867-2271x8237,caleb65@example.com,57.42
55,Smith-Peterson,Bistro,664 Cook Pine Apt. 067,"Rabat, Morocco",001-774-679-1753,vchristensen@example.com,19.23
56,Gomez and Sons,Café,88262 Lowe Spurs,"Fes, Morocco",514.457.8463,zgill@example.net,63.36
57,Meza-Hall,Bistro,483 Michael Flats,"Tangier, Morocco",+1-941-290-6046,victoria93@example.org,24.0
58,Blake-Henderson,Café,5743 Krause Turnpike,"Rabat, Morocco",(464)985-5646x52350,kennedypaul@example.org,87.17
59,Anderson-Harper,Street Food,17699 Coleman Pike,"Rabat, Morocco",(912)553-4122x42197,lindsay89@example.net,66.96
60,Williams Group,Café,84929 Robinson Forks,"Marrakech, Morocco",+1-825-503-8892x9890,jamiecalhoun@example.com,19.1
61,Vargas-Robinson,Street Food,273 Jones Garden,"Oujda, Morocco",001-642-939-0798x17483,lisa97@example.com,7.68
62,Simmons and Sons,Bistro,037 Chen Ramp,"Marrakech, Morocco",7779308465,jameswest@example.net,13.81
63,Mercado-Wood,Café,486 Cervantes Village,"Agadir, Morocco",+1-313-384-1731,saraflynn@example.net,42.5
64,"Pratt, Martinez and Haley",Restaurant,38840 Cunningham Keys Apt. 202,"Agadir, Morocco",467-369-1201,christopher39@example.org,39.41
65,"Kline, Martin and Stewart",Bistro,663 Donna Squares Apt. 824,"Oujda, Morocco",+1-965-643-6035,brianfox@example.net,91.03
66,"Valenzuela, Alvarez and Anthony",Bakery,71335 Jeffery Estates Suite 024,"Oujda, Morocco",264-781-4816,tbyrd@example.com,38.69
67,"Mcconnell, Lowe and Moss",Bakery,693 Harris Crescent Suite 341,"Rabat, Morocco",218.754.9970x2344,dpeterson@example.com,61.66
68,"Oconnor, Sullivan and Rodriguez",Street Food,43583 Brown Creek Suite 333,"Agadir, Morocco",+1-875-333-5087,egray@example.com,49.68
69,Thompson and Sons,Café,65468 Natasha Corners,"Rabat, Morocco",001-608-473-9385x1263,adamcarpenter@example.org,37.07
70,Gutierrez-Bailey,Bakery,68213 Elizabeth Square Suite 153,"Tangier, Morocco",7757675142,psalazar@example.org,44.35
71,"Madden, Rowe and Franklin",Restaurant,161 Atkinson Cove,"Agadir, Morocco",(723)599-7808,pcampos@example.net,98.46
72,"Wright, Johnson and Moody",Bistro,91743 Douglas Keys Apt. 341,"Fes, Morocco",230.994.1382x5739,georgegallagher@example.net,53.76
